"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","TIME","AVG_RMSD","AVG_RMSD^3_TIME"
24,48,3,160,1024,30,1,10485760,890.391,2.29,10692.695724699
24,48,3,160,1024,256,2,2097152,908.75,2.01,7379.59615875
24,48,4,64,1024,50,3,1048576,1464.371,2.28,17356.240550592
24,48,4,96,1024,10,2,20971520,1172.922,2.63,21337.148398134
24,48,4,192,1024,30,2,1048576,1180.356,2.31,14549.529575196
24,48,5,64,1024,50,4,20971520,1776.252,2.36,23347.511008512
24,48,5,128,1024,50,2,1048576,1343.037,2.19,14106.534064983
24,48,5,224,256,10,2,1048576,402.593,2.6,7075.974568
24,72,1,128,256,10,3,10485760,145.419,2.67,2767.928949297
24,72,3,128,1024,10,3,10485760,1182.317,2.6,20780.403592
24,72,4,32,1024,30,3,2097152,1471.582,2.37,19589.777577846
24,72,4,96,1024,10,3,52428800,1596.636,2.62,28715.064175008
24,72,4,128,256,30,4,2097152,379.886,2.36,4993.318834816
24,72,4,160,256,256,4,1048576,393.038,2.05,3386.07149975
24,72,4,256,256,50,1,5242880,416.944,2.23,4623.728423248
24,72,5,32,1024,256,2,2097152,1810.487,2.04,15370.426306368
24,72,5,96,256,10,4,10485760,488.437,2.67,9296.989473231
24,72,5,96,1024,10,3,20971520,1918.426,2.62,34502.369798128
24,72,5,96,1024,30,2,1048576,1921.419,2.3,23377.904973
32,8,1,192,256,50,4,1048576,95.237,2.34,1220.262538248
32,8,2,64,1024,50,4,10485760,457.586,2.42,6485.132093968
32,8,2,192,256,10,4,2097152,112.015,2.6,1968.77564
32,8,3,256,1024,256,4,52428800,473.122,2.19,4969.417528998
32,8,4,128,1024,256,4,1048576,512.203,2.19,5379.903210177
32,8,5,160,256,50,1,10485760,155.844,2.28,1847.117945088
32,12,1,96,1024,10,3,1048576,299.83,2.74,6167.75015992
32,12,1,96,1024,30,2,52428800,302.698,2.38,4080.754071856
32,12,1,96,1024,30,3,1048576,300.371,2.45,4417.293472375
32,12,2,64,1024,256,1,2097152,519.307,2.11,4878.334125817
32,12,3,224,256,50,2,52428800,153.767,2.28,1822.500609984
32,12,4,160,1024,30,1,20971520,572.128,2.48,8726.663806976
32,12,4,192,256,30,4,52428800,164.684,2.46,2451.640168224
32,12,5,160,256,10,4,1048576,171.314,2.64,3152.133743616
32,16,2,256,256,10,2,20971520,125.702,2.68,2419.616680064
32,16,4,96,1024,30,3,20971520,680.51,2.4,9407.37024
32,16,4,192,1024,256,1,2097152,698.96,2.05,6021.62777
32,16,5,224,256,30,1,1048576,222.421,2.39,3036.473475899
32,16,5,224,1024,50,1,5242880,878.068,2.22,9606.984135264
32,20,1,32,1024,50,2,10485760,324.234,2.28,3842.935498368
32,20,2,96,256,30,3,1048576,137.094,2.38,1848.201503568
32,20,2,160,1024,30,1,2097152,460.315,2.35,5973.910530625
32,20,3,64,256,256,4,5242880,208.352,2.09,1902.113955808
32,20,3,128,256,30,3,2097152,160.139,2.36,2104.908011584
32,20,3,256,1024,30,3,20971520,629,2.41,8804.440709
32,20,4,32,256,30,1,52428800,187.247,2.34,2399.177835288
32,20,4,64,1024,50,2,1048576,917.698,2.23,10176.873456766
32,20,4,96,1024,30,1,10485760,753.044,2.31,9282.314784204
32,20,4,224,256,256,1,2097152,227.64,2.09,2078.20045356
32,24,1,64,256,30,3,1048576,124.79,2.36,1640.27170624
32,24,1,256,1024,30,4,5242880,379.621,2.49,5860.683523629
32,24,3,256,256,30,1,1048576,182.042,2.37,2423.352752226
32,24,4,32,256,30,1,5242880,202.606,2.38,2731.386594832
32,24,4,224,1024,30,1,52428800,907.997,2.37,12087.304187841
32,24,4,256,256,10,1,1048576,215.138,2.86,5032.864364528
32,32,1,64,1024,30,1,2097152,517.064,2.42,7328.083335232
32,32,1,256,1024,50,3,5242880,415.968,2.36,5467.589879808
32,32,2,128,256,256,3,1048576,165.436,2.1,1532.102796
32,32,2,160,1024,50,4,20971520,571.223,2.44,8298.033136832
32,32,2,224,256,30,2,1048576,175.969,2.33,2225.891182553
32,32,2,224,1024,10,2,5242880,665.227,2.67,12662.039150001
32,32,3,128,256,50,4,10485760,196.155,2.3,2386.617885
32,32,3,224,1024,10,4,20971520,873.401,2.75,18164.011421875
32,32,3,224,1024,50,2,1048576,869.882,2.28,10310.147662464
32,32,4,96,256,10,3,1048576,244.969,2.65,4558.781226625
32,32,4,96,1024,50,2,20971520,970.071,2.27,11347.001002893
32,32,4,160,256,30,1,52428800,234.408,2.41,3281.130902568
32,32,4,192,256,10,4,2097152,248.792,2.68,4788.955410944
32,48,2,160,1024,50,2,52428800,714.048,2.26,8242.381736448
32,48,3,160,256,256,3,1048576,255.421,2.06,2232.843384536
