"#vm","ram","time","cost"
12,0.7,332763,3993156
12,0.7,446847,5362164
12,0.7,384721,4616652
12,0.7,334532,4014384
12,0.7,442356,5308272
12,0.7,387119,4645428
12,0.7,339355,4072260
12,0.7,335605,4027260
12,0.7,333964,4007568
12,0.7,376646,4519752
14,0.7,291608,4082512
14,0.7,293578,4110092
14,0.7,287248,4021472
14,0.7,291546,4081644
14,0.7,422765,5918710
14,0.7,400016,5600224
14,0.7,392449,5494286
14,0.7,288265,4035710
14,0.7,389851,5457914
14,0.7,411013,5754182
14,0.7,396669,5553366
14,0.7,386964,5417496
14,0.7,370741,5190374
14,0.7,405857,5681998
14,0.7,341239,4777346
14,0.7,395211,5532954
14,0.7,287501,4025014
14,0.7,397870,5570180
14,0.7,289624,4054736
14,0.7,408572,5720008
14,0.7,289254,4049556
16,0.7,251737,4027792
16,0.7,246205,3939280
16,0.7,254468,4071488
16,0.7,378718,6059488
16,0.7,338507,5416112
16,0.7,336567,5385072
16,0.7,257547,4120752
16,0.7,358448,5735168
16,0.7,376262,6020192
16,0.7,359086,5745376
16,0.7,354366,5669856
16,0.7,368763,5900208
16,0.7,254789,4076624
16,0.7,347323,5557168
16,0.7,257890,4126240
16,0.7,251660,4026560
16,0.7,251215,4019440
16,0.7,251660,4026560
16,0.7,258014,4128224
16,0.7,255604,4089664
16,0.7,250726,4011616
16,0.7,372012,5952192
16,0.7,361836,5789376
16,0.7,246385,3942160
16,0.7,301306,4820896
16,0.7,364148,5826368
18,0.7,322952,5813136
18,0.7,332284,5981112
18,0.7,227272,4090896
18,0.7,227106,4087908
18,0.7,233312,4199616
18,0.7,224236,4036248
18,0.7,226820,4082760
18,0.7,233891,4210038
18,0.7,346872,6243696
18,0.7,225226,4054068
18,0.7,229074,4123332
18,0.7,226444,4075992
18,0.7,236902,4264236
18,0.7,223451,4022118
18,0.7,237043,4266774
18,0.7,229544,4131792
18,0.7,224625,4043250
18,0.7,226407,4075326
18,0.7,229736,4135248
18,0.7,230697,4152546
18,0.7,234608,4222944
20,0.7,206609,4132180
20,0.7,208766,4175320
20,0.7,208509,4170180
20,0.7,208762,4175240
20,0.7,321224,6424480
20,0.7,206918,4138360
20,0.7,206187,4123740
20,0.7,209936,4198720
20,0.7,210941,4218820
20,0.7,208056,4161120
20,0.7,208380,4167600
20,0.7,211665,4233300
20,0.7,213596,4271920
20,0.7,208131,4162620
20,0.7,218013,4360260
20,0.7,209690,4193800
20,0.7,314396,6287920
20,0.7,208062,4161240
20,0.7,208781,4175620
20,0.7,326833,6536660
20,0.7,211710,4234200
22,0.7,188293,4142446
22,0.7,190740,4196280
22,0.7,187457,4124054
22,0.7,186434,4101548
22,0.7,191335,4209370
22,0.7,188267,4141874
22,0.7,304369,6696118
22,0.7,187908,4133976
22,0.7,188147,4139234
22,0.7,188319,4143018
22,0.7,187801,4131622
22,0.7,188799,4153578
22,0.7,189463,4168186
22,0.7,189164,4161608
22,0.7,185439,4079658
22,0.7,189189,4162158
22,0.7,188272,4141984
22,0.7,289298,6364556
22,0.7,191272,4207984
22,0.7,190150,4183300
22,0.7,188177,4139894
24,0.7,184900,4437600
24,0.7,183689,4408536
24,0.7,188158,4515792
24,0.7,189267,4542408
24,0.7,186106,4466544
24,0.7,184032,4416768
24,0.7,187520,4500480
24,0.7,186122,4466928
24,0.7,188258,4518192
24,0.7,185576,4453824
24,0.7,186298,4471152
24,0.7,185309,4447416
24,0.7,188543,4525032
24,0.7,188305,4519320
24,0.7,187689,4504536
24,0.7,186833,4483992
24,0.7,188936,4534464
24,0.7,187942,4510608
24,0.7,185614,4454736
24,0.7,183136,4395264
24,0.7,187600,4502400
26,0.7,170256,4426656
26,0.7,171923,4469998
26,0.7,171813,4467138
26,0.7,171015,4446390
26,0.7,169667,4411342
26,0.7,171734,4465084
26,0.7,169557,4408482
26,0.7,171303,4453878
26,0.7,173807,4518982
26,0.7,171096,4448496
26,0.7,170712,4438512
26,0.7,172057,4473482
26,0.7,170967,4445142
26,0.7,171856,4468256
26,0.7,169440,4405440
26,0.7,168503,4381078
26,0.7,169883,4416958
26,0.7,168488,4380688
26,0.7,169125,4397250
26,0.7,170083,4422158
26,0.7,167550,4356300
3,4,399365,1198095
3,4,402082,1206246
3,4,400467,1201401
3,4,404827,1214481
3,4,444773,1334319
3,4,402063,1206189
3,4,401534,1204602
3,4,400505,1201515
3,4,452660,1357980
3,4,397131,1191393
4,4,311751,1247004
4,4,318035,1272140
4,4,308052,1232208
4,4,307004,1228016
4,4,308639,1234556
4,4,311770,1247080
4,4,305978,1223912
4,4,308291,1233164
