confidence,hypo_step,max_arm_length,num_threads,exec_time_s,cost
24,1,14,30,132.93,3987900
14,1,14,30,133.1,3993000
64,3,13,30,77.61,2328300
54,3,13,30,94.03,2820900
44,3,13,30,76.15,2284500
34,3,13,30,76.35,2290500
24,3,13,30,78.67,2360100
14,3,13,30,66.03,1980900
64,2,13,30,80.24,2407200
54,2,13,30,81.41,2442300
44,2,13,30,80.15,2404500
34,2,13,30,80.74,2422200
24,2,13,30,89.17,2675100
14,2,13,30,84.53,2535900
64,1,13,30,128.07,3842100
54,1,13,30,128.99,3869700
44,1,13,30,130.31,3909300
34,1,13,30,128.0,3840000
24,1,13,30,130.71,3921300
14,1,13,30,126.22,3786600
64,3,12,30,71.61,2148300
54,3,12,30,68.62,2058600
44,3,12,30,72.64,2179200
34,3,12,30,79.12,2373600
24,3,12,30,73.62,2208600
14,3,12,30,77.03,2310900
64,2,12,30,93.84,2815200
54,2,12,30,79.21,2376300
44,2,12,30,82.48,2474400
34,2,12,30,79.75,2392500
24,2,12,30,83.11,2493300
14,2,12,30,83.21,2496300
64,1,12,30,131.3,3939000
54,1,12,30,128.67,3860100
44,1,12,30,131.19,3935700
34,1,12,30,130.2,3906000
24,1,12,30,133.52,4005600
14,1,12,30,131.01,3930300
64,3,11,30,72.03,2160900
54,3,11,30,66.61,1998300
44,3,11,30,66.78,2003400
34,3,11,30,70.13,2103900
24,3,11,30,78.87,2366100
14,3,11,30,62.65,1879500
64,2,11,30,80.2,2406000
54,2,11,30,79.84,2395200
44,2,11,30,85.25,2557500
34,2,11,30,91.59,2747700
24,2,11,30,88.75,2662500
14,2,11,30,86.35,2590500
64,1,11,30,126.73,3801900
54,1,11,30,128.78,3863400
44,1,11,30,121.55,3646500
34,1,11,30,122.31,3669300
24,1,11,30,129.17,3875100
14,1,11,30,125.76,3772800
64,3,10,30,77.68,2330400
54,3,10,30,96.38,2891400
44,3,10,30,67.31,2019300
34,3,10,30,66.79,2003700
24,3,10,30,75.06,2251800
14,3,10,30,62.6,1878000
64,2,10,30,78.45,2353500
54,2,10,30,80.98,2429400
44,2,10,30,82.63,2478900
34,2,10,30,81.92,2457600
24,2,10,30,82.31,2469300
14,2,10,30,85.84,2575200
64,1,10,30,124.14,3724200
54,1,10,30,125.06,3751800
44,1,10,30,127.42,3822600
34,1,10,30,129.2,3876000
34,1,10,30,126.13,3783900
14,1,10,30,132.47,3974100
64,3,9,30,65.19,1955700
54,3,9,30,65.32,1959600
44,3,9,30,65.92,1977600
34,3,9,30,61.44,1843200
24,3,9,30,70.01,2100300
14,3,9,30,77.59,2327700
64,2,9,30,78.1,2343000
54,2,9,30,86.62,2598600
44,2,9,30,82.0,2460000
34,2,9,30,83.82,2514600
24,2,9,30,77.21,2316300
14,2,9,30,81.97,2459100
64,1,9,30,125.97,3779100
54,1,9,30,121.77,3653100
44,1,9,30,120.68,3620400
34,1,9,30,127.62,3828600
24,1,9,30,127.06,3811800
14,1,9,30,127.29,3818700
64,3,8,30,79.25,2377500
54,3,8,30,66.5,1995000
44,3,8,30,65.88,1976400
34,3,8,30,62.55,1876500
24,3,8,30,73.44,2203200
14,3,8,30,67.66,2029800
64,2,8,30,83.66,2509800
54,2,8,30,80.06,2401800
44,2,8,30,94.83,2844900
34,2,8,30,84.99,2549700
24,2,8,30,88.67,2660100
14,2,8,30,81.62,2448600
64,1,8,30,118.26,3547800
54,1,8,30,119.31,3579300
44,1,8,30,129.18,3875400
34,1,8,30,126.65,3799500
24,1,8,30,122.74,3682200
14,1,8,30,121.6,3648000
64,3,7,30,64.57,1937100
54,3,7,30,72.2,2166000
44,3,7,30,57.32,1719600
34,3,7,30,68.34,2050200
24,3,7,30,68.29,2048700
14,3,7,30,60.15,1804500
64,2,7,30,78.45,2353500
54,2,7,30,73.18,2195400
44,2,7,30,75.42,2262600
34,2,7,30,75.84,2275200
24,2,7,30,79.21,2376300
14,2,7,30,74.47,2234100
64,1,7,30,123.2,3696000
54,1,7,30,121.66,3649800
44,1,7,30,121.4,3642000
34,1,7,30,117.76,3532800
24,1,7,30,118.6,3558000
14,1,7,30,123.86,3715800
64,3,6,30,64.02,1920600
54,3,6,30,64.64,1939200
44,3,6,30,56.14,1684200
34,3,6,30,61.45,1843500
24,3,6,30,60.19,1805700
14,3,6,30,61.98,1859400
64,2,6,30,69.17,2075100
54,2,6,30,70.67,2120100
44,2,6,30,73.73,2211900
34,2,6,30,71.85,2155500
24,2,6,30,73.67,2210100
14,2,6,30,70.14,2104200
64,1,6,30,116.91,3507300
54,1,6,30,115.98,3479400
44,1,6,30,119.18,3575400
34,1,6,30,116.39,3491700
24,1,6,30,118.74,3562200
14,1,6,30,117.17,3515100
64,3,5,30,58.84,1765200
54,3,5,30,68.0,2040000
44,3,5,30,59.94,1798200
34,3,5,30,61.37,1841100
24,3,5,30,59.96,1798800
14,3,5,30,61.86,1855800
64,2,5,30,73.64,2209200
54,2,5,30,73.33,2199900
44,2,5,30,71.39,2141700
34,2,5,30,70.92,2127600
24,2,5,30,72.43,2172900
14,2,5,30,83.98,2519400
64,1,5,30,110.19,3305700
54,1,5,30,116.46,3493800
44,1,5,30,113.83,3414900
34,1,5,30,114.42,3432600
24,1,5,30,113.98,3419400
14,1,5,30,110.68,3320400
64,3,4,30,56.14,1684200
54,3,4,30,63.7,1911000
44,3,4,30,56.04,1681200
34,3,4,30,58.86,1765800
24,3,4,30,53.86,1615800
14,3,4,30,60.2,1806000
64,2,4,30,73.75,2212500
54,2,4,30,73.44,2203200
54,2,4,30,71.52,2145600
34,2,4,30,72.67,2180100
24,2,4,30,72.97,2189100
14,2,4,30,69.14,2074200
64,1,4,30,107.65,3229500
54,1,4,30,107.26,3217800
44,1,4,30,107.49,3224700
34,1,4,30,106.31,3189300
24,1,4,30,105.86,3175800
14,1,4,30,113.5,3405000
64,3,3,30,65.42,1962600
54,3,3,30,60.34,1810200
44,3,3,30,58.76,1762800
34,3,3,30,50.57,1517100
24,3,3,30,48.22,1446600
14,3,3,30,58.7,1761000
64,2,3,30,88.21,2646300
54,2,3,30,71.46,2143800
44,2,3,30,85.52,2565600
34,2,3,30,73.29,2198700
24,2,3,30,65.76,1972800
14,2,3,30,75.16,2254800
64,1,3,30,111.4,3342000
54,1,3,30,118.95,3568500
44,1,3,30,109.24,3277200
34,1,3,30,114.07,3422100
24,1,3,30,114.85,3445500
14,1,3,30,113.74,3412200
64,3,2,30,63.52,1905600
